Index Target Period Width1 Width2 Depth1 Depth2
105 TIC 157175641 0.37009033203124997 0.33558196927404327 0.33614196673740193 0.39925475237285146 0.3894118913652246
106 TIC 302043038 15.836096655273437 0.023013662600242357 0.020792638139161126 0.13702542065016127 6.036707707896216e-09
107 TIC 320855910 2.7544619140625 0.08827698425161776 0.08156383896974534 0.027981697548529645 0.030434255652127352
108 TIC 405387285 0.9846152343750001 0.31534660224647926 0.3580252740077242 0.002617745827495118 0.003350214047846462
109 TIC 278988794 7.591370654296876 0.02385581658212687 0.024058973590882632 0.09561505019254168 0.03650185524996043
110 TIC 378885645 4.227380664062501 0.3579914249717879 0.4999982512156207 0.3335590186952695 0.17283913170333337
111 TIC 103777040 0.9477222656250001 0.3274878593513486 0.33983585730568217 0.0016140049574500572 0.0016750707423657243
112 TIC 150361911 2.49324345703125 0.07007403650687188 0.07194835552046819 0.21585579415806305 0.2073073862661315
113 TIC 280738935 1.513073876953125 0.12381844143195625 0.12503330452306777 0.011683304671962842 0.009900090576803931
114 TIC 294092966 0.9020880859375 0.4999999999885577 0.2560372005804881 0.0610385998841419 0.016046671688819146
115 TIC 466323338 19.044965560913084 0.013889833926778523 0.01870402694268411 0.02254355001565768 0.0034052347727314544
116 TIC 372909935 3.6109999999999998 0.026208547945748714 0.050171697524546664 0.011195418925801016 0.001451254290920872
117 TIC 382266319 0.3440755859375 0.3873651420078943 0.3684523313780462 0.48089795711374894 0.44044139965934115
118 TIC 38462522 2.6431217041015618 0.00010000484089363325 0.0841458651969037 0.002129907648258811 9.108192413144634e-05
119 TIC 408512382 4.031196826171875 0.04126875202389243 0.09928536118615164 0.059242249135201056 0.012038223733448783
120 TIC 231093356 3.4700847167968747 0.061866629520720216 0.06163762113975407 0.41231182919979814 0.38645866368946286
121 TIC 132298139 14.962 0.012130273404975085 0.002882696675653433 0.38783865321420324 0.07345260777260836
122 TIC 380127556 0.451 0.4419297289727074 0.45483302513345164 0.19499200146308013 0.1757215561773866
123 TIC 32000625 0.7019314453125001 0.11942376060859242 0.22553435895501667 0.07701690680107426 0.0861464035120243
124 TIC 162305237 0.33708227539062496 0.49999997608773783 0.39963960457153624 0.15161970545053127 0.12479849074639165
125 TIC 345899523 8.389122229003906 0.09930057293737539 0.07152121504590365 0.43617037347603554 0.3428604670214187
126 TIC 165456443 4.31257900390625 0.033120885525407553 0.09446765165779418 0.023599699885183567 0.003094911874572428
127 TIC 278861826 0.5339478515625 0.18799488285015983 0.08611384971717187 0.03604060731924481 0.04178132228318629
128 TIC 229811538 12.519575695800782 0.015366216890065686 0.01671902893380574 0.02247464870586175 0.00852023601106753
129 TIC 458808688 2.7028020263671877 0.08782011120824433 0.08471159893903374 0.0027382216023282215 0.0027207206744831913
130 TIC 392113518 4.367146875 0.051308397242419396 0.00010018676160541905 0.003106959053793461 2.170619648350585e-05
131 TIC 467062613 3.03385185546875 0.10985711522623515 0.11032226904751763 0.00374194134920987 0.003745444655072882
132 TIC 321947833 0.63949921875 0.3836870362221329 0.3274892762907803 0.013603311380348633 0.014124960243953788
133 TIC 294191640 1.5939999999999999 0.07013034392487552 0.3574591929884336 0.03201913899242832 0.005760137724258015
134 TIC 350030939 1.2210596191406249 0.15240664420505629 0.1484882534062518 0.11422948683457655 0.09598341831416504
135 TIC 181150051 1.0400507812499997 0.0772264328438052 0.4999999821312534 0.15182913200672082 0.0405530548695877
136 TIC 415783540 0.433915234375 0.29846775399467074 0.19382333216936493 0.004234162432943963 0.0031593323264249478
137 TIC 167304040 5.81985791015625 0.06008380420428669 0.06708135401477469 0.20118918185965007 0.18317897178294568
138 TIC 137136194 3.133387890625 0.11258423911107139 0.1472769827389108 0.0009387201589651002 3.2602268454996757e-13
139 TIC 141975903 0.2579244140625 0.41345073162185403 0.372417260768069 0.279565857839634 0.22390042881476813
140 TIC 124205037 0.3329349609375 0.4001524270699122 0.3928222212653134 0.4125151744771919 0.3833985327546414
141 TIC 307488184 12.585076812744141 0.015938218713644925 0.04212585927907332 0.14024061416607808 3.342356859391653e-08
142 TIC 82580956 1.8940924804687498 0.05630274349460604 0.05333923746666246 0.004500793841391015 0.003789917321354261
143 TIC 271701447 1.6382399414062498 0.11552627118976455 0.11753456690967402 0.0010380182841725446 0.0009426114632284096
144 TIC 141622065 2.928 0.1075957219838272 0.10885115279717175 0.19303462171997904 0.1652043694926748
145 TIC 398763011 9.317146911621093 0.0620885860027461 0.0634797323494675 0.012097026183764136 0.012077358511125777
146 TIC 308851582 8.13329783935547 0.03163765825393276 0.010545355458423913 0.33397991034896835 0.008589132798059246
147 TIC 260162199 0.2680302612304688 0.49999997536955265 0.3487031204470399 0.7398466721874921 0.23358439052903213
148 TIC 25078924 1.809 0.09102628854401698 0.24432306637655887 0.11927706678858646 0.1456440780798911
149 TIC 124604724 0.1169822364807129 0.3181877556574575 0.31725142679887636 0.17426219779790597 0.1687426389410867
150 TIC 381948745 3.1911558105468747 0.07472115875809777 0.07515912770948208 0.07304920156876094 0.07112046868388852
151 TIC 181159386 12.158074206542967 0.023277497871589586 0.021552909787183 0.014841217927013334 0.006262328132845519
152 TIC 306130391 4.6450000000000005 0.05455891803526096 0.05558544682700014 0.048399281450659734 0.03424633898416513
153 TIC 220474209 0.9800478515625 0.09829409347201254 0.10875450222221693 0.07275822222532688 0.02711224160401676
154 TIC 141766191 0.3739634765625 0.3703610988930978 0.3596107264276933 0.05534484818047873 0.048825681771387075
155 TIC 279615979 0.48111743164062504 0.42105558780646335 0.4580392594172487 0.16260872075591676 0.16112132303923923
156 TIC 176910080 1.8578185546875 0.08931688452362316 0.08918740294314355 0.06618505167861002 0.009055065866187692
157 TIC 102764828 0.6738683593750001 0.3294187035640533 0.3535295501826826 0.015194534372578956 0.0076587496908145525
